entry_time,entry_price,exit_time,exit_price,pnl,pnl_pct,reason
2026-09-03 11:30:00+05:30,57620.0,2026-09-03 15:05:00+05:30,57418.7,-201.3,-0.3494,STOPLOSS -0.35%
2026-09-04 13:15:00+05:30,57619.55,2026-09-04 15:00:00+05:30,57444.3,-175.25,-0.3042,STOPLOSS -0.30%
